wallet,wallet_age_days,tx_count,tx_frequency,avg_tx_value,active_days,tx_per_day_mean,tx_per_day_std,consistency_ratio,max_tx_per_hour,max_tx_per_minute,unique_counterparties,stablecoin_tx_count,total_token_tx_count,stablecoin_tx_ratio
0x83b3fc49d30356682a88b1c45ac139c92c3fc11c,69,7,0.10144927536231885,57786013222857.14,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x758ef3f7efe21369ea038bd0877db6985abc258d,69,7,0.10144927536231885,60378202326714.29,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,1,8,0,0,0.0
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,246,10000,40.65040650406504,2.2277291114600003e+17,92,108.69565217391305,112.70546454866523,1.0368902738477201,60,29,66,0,10000,0.0
0x2cff890f0378a11913b6129b2e97417a2c302680,265,10000,37.735849056603776,2.8178345779071555e+18,267,37.453183520599254,42.56203631542807,1.1364063696219293,56,6,3233,7951,10000,0.7951
0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,235,10000,42.5531914893617,0.0,31,322.5806451612903,946.0545711600907,2.9327691705962815,434,60,731,1,40,0.025
0x0003fbae5d12bb3759c659c4f586ed3e8e7fd4f9,54,319,5.907407407407407,3.443269555276939e+17,21,15.19047619047619,20.178253263399803,1.3283489609134667,17,3,28,0,20,0.0
0x259338656198ec7a76c729514d3cb45dfbf768a1,83,10000,120.48192771084338,2903279012814.6934,10,1000.0,2182.7414464893045,2.1827414464893047,1801,66,7937,1,14,0.07142857142857142
0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467,43,10000,232.5581395348837,36271207311388.4,12,833.3333333333334,2185.425414518703,2.6225104974224434,1365,122,5844,0,16,0.0
0x607f4c5bb672230e8672085532f7e901544a7375,46,10000,217.3913043478261,1557811576500000.0,47,212.7659574468085,123.34596321727821,0.5797260271212076,71,10,1839,0,2662,0.0
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2687,2465,0.9173799776702642,4.668992153003891e+21,701,3.5164051355206847,13.993522039089653,3.979496531197504,287,93,747,303,10000,0.0303
0xe6bfeae467faca8e35ceb0184efd9273e89bdfe8,9,8,0.8888888888888888,5988729827921698.0,3,2.6666666666666665,1.5275252316519465,0.57282196186948,4,3,7,14,18,0.7777777777777778
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,102,10000,98.03921568627452,14794541574646.395,96,104.16666666666667,65.25797659115649,0.6264765752751023,151,91,3221,1,10000,0.0001
0xfa9c579e9b59b11059c273ad17f17708e3290c9e,1,3,3.0,2.1334836766426604e+19,2,1.5,0.7071067811865476,0.47140452079103173,1,1,3,0,2,0.0
0x00000000219ab540356cbb839cbe05303d7705fa,40,10000,250.0,3.1853545618004513e+19,22,454.54545454545456,664.0451596284503,1.4608993511825905,527,81,1117,16,10000,0.0016
0x73ba11af2edda5b8c0d711eb69f4cf0eb660fa8a,69,7,0.10144927536231885,51712528090857.14,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,2474,109,0.044058205335489084,8.801870672629435e+21,17,6.411764705882353,8.008267786555122,1.2489958933159364,21,10,19,0,4070,0.0
0xd18821cfb3d7268f5051ec008cd80d3df5f0d128,141,2690,19.078014184397162,1.8484038554778546e+19,128,21.015625,29.043541674391676,1.3819975220528382,269,13,67,24,254,0.09448818897637795
0x507ba1ceda799817207a6d6dca1bcd15dbf4bf12,14,84,6.0,9595537150599882.0,14,6.0,4.771711513621792,0.7952852522702987,4,2,10,0,5,0.0
0x26064ce852e1b3c6acf1d9666ec637834889653e,142,14,0.09859154929577464,3531650000000000.0,8,1.75,1.3887301496588271,0.7935600855193298,2,1,13,0,0,0.0
0x8290333cef9e6d528dd5618fb97a76f268f3edd4,18,10000,555.5555555555555,130000000000.0,13,769.2307692307693,1619.845628130767,2.105799316569997,1987,101,2358,5,140,0.03571428571428571
0x5a0036bcab4501e70f086c634e2958a8beae3a11,936,10000,10.683760683760683,5.631429999999999e+19,620,16.129032258064516,40.255518238597865,2.4958421307930676,106,3,11,9,72,0.125
